Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years_Operating,Outlet_Age_Category,Item_Category_Code,Item_Numeric_ID,Price_per_Weight_Ratio,High_Value_Item,Has_Zero_Visibility,Item_Visibility_Corrected,MRP_Price_Segment,Weight_Category,Store_Avg_Sales,Store_Sales_Std,Store_Product_Count,Store_Median_Sales,Store_Min_Sales,Store_Max_Sales,Store_Sales_Range,Market_Segment,Outlet_Item_Interaction,Size_Location_Interaction,Visibility_Type_Ratio,MRP_Type_Ratio
FDA15,9.3,0,0.016047301,4,249.8092,OUT049,1999,1,0,1,3735.138,14,0,1,0,26.86120430107527,1,0,0.016047301,2,2,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,1,20,1,0.21190062841136423,1.6967160732593451
DRC01,5.92,1,0.019278216,14,48.2692,OUT018,2009,1,2,2,443.4228,4,2,0,0,8.15358108108108,0,0,0.019278216,0,1,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,0,46,2,0.2757735715167025,0.35648354342418787
FDN15,17.5,0,0.016760075,10,141.618,OUT049,1999,1,0,1,2097.27,14,0,1,0,8.092457142857143,0,0,0.016760075,4,3,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,2,26,1,0.2629405100461748,1.0094578936582579
FDX07,19.2,1,0.0,6,182.095,OUT010,1998,2,2,0,732.38,15,0,1,0,9.484114583333334,0,1,0.07330458675889538,3,3,339.351661981982,271.0148547350674,555,250.3408,33.29,1775.6886,1742.3986,2,6,5,1.0000000000000002,1.261882562927769
NCD19,8.93,0,0.0,9,53.8614,OUT013,1987,0,2,1,994.7052,26,1,2,0,6.031511758118701,0,1,0.06318584885167464,0,2,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,0,25,0,1.0,0.36212630873579743
FDP36,10.395,1,0.0,0,51.4008,OUT018,2009,1,2,2,556.6088,4,2,1,0,4.944761904761904,0,1,0.07329699719383698,0,2,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,0,32,2,1.0,0.403275622893229
FDO10,13.65,1,0.012741089,13,57.6588,OUT013,1987,0,2,1,343.5528,26,1,1,0,4.224087912087912,0,0,0.012741089,0,0,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,0,29,0,0.17824592744465415,0.39368208517062603
FDP10,19.0,0,0.127469857,13,107.7622,OUT027,1985,1,2,3,4022.7636,28,1,1,0,5.671694736842106,0,0,0.127469857,1,3,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,2,61,2,1.7832842139476803,0.7357774979460905
FDH17,16.2,1,0.016687114,5,96.9726,OUT045,2002,2,1,1,1076.5986,11,0,1,0,5.985962962962963,0,0,0.016687114,1,0,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,2,21,4,0.23238027138629885,0.7105917645107722
FDU28,19.2,1,0.09444959,5,187.8214,OUT017,2007,2,1,1,4710.535,6,2,1,0,9.782364583333335,1,0,0.09444959,3,3,2340.67526349892,1550.7780254644128,926,2005.0567,143.8128,9664.7528,9520.94,2,21,4,1.3152796437133862,1.376309803376248
